Headline,label
Travel   Outdoors,0
Biden administration unveils defense of student loan forgiveness plan at Supreme Court,1
Credit card debt on the rise  Here s the  best weapon in your arsenal  to fight it,0
Court documents outline timeline in Idaho murders,-1
Hannity   Friday  January  ,0
Hiker found dead in Texas national park after high wind warning on New Year s Eve,-1
Anne Heche s son Homer Laffoon thanks fans for  love  care and support  amid late star s memoir release,1
Rock band s lead singer facing several charges after hotel room discovery,-1
Prince Harry details losing his virginity to an older woman who treated him like  a young stallion ,0
In the face of crime and danger  Americans stepped up to help complete strangers in        People are amazing ,0
Damar Hamlin s recovery shows  we re seeing God answer prayer in real time ,1
TUCKER CARLSON  Lies about January   have enabled unscrupulous people to make a mockery of our Bill of Rights,-1
Kylie Jenner and Travis Scott split again after spending the holidays apart  report,1
Wells Fargo VP arrested  fired for urinating on airplane passenger  report,-1
Kentucky Gov  Andy Beshear chosen to co chair Appalachian Regional Commission,0
Greeks celebrate Epiphany with blessings of the water after   years of COVID restrictions,1
New Jersey beach town sues state for     million over dune issue,0
Political cartoons of the day,0
Biden signs bills to improve water access for   Arizona tribes,1
McCarthy is finally Speaker  But he s not weak like you think  Now he can deploy the  crazy boss  strategy,-1
Texas homeowner shoots suspected intruder  holds him at gunpoint until deputies arrive,-1
China acts against COVID policy critics  suspends social media accounts,-1
House speaker drama  Democrat reads  The Subtle Art of Not Giving A F  k  book on floor,-1
Texas ranchers blast Biden s obligatory border visit   A little too late ,0
FDA accelerates approval for Alzheimer s drug,1
Michigan UPS worker  born a preemie herself  makes warming blankets for other babies born prematurely,0
Here are the winning numbers for Friday s     M Mega Millions drawing,1
Honey as an alternative to sugar  New study indicates the health benefits,1
Three children among five dead in suspected murder suicide,-1
McCarthy thanks Trump after House speaker vote   He was with me from the beginning ,1
Virginia teacher shot by   year old first grader identified  parents demand action,0
The first GMC Hummer EV SUV could raise millions for charity,1
 WORSE THAN IT ALREADY IS   Americans reveal low expectations for Biden in     ,-1
Musk wants change of venue for shareholder trial,0
The Big Saturday Show   Saturday  January  ,0
The Journal Editorial Report   Saturday  January  ,0
White House hopeful war with China over Taiwan  never comes to pass   report,0
KFC for Christmas  How the fast food chain became a holiday hit in Japan,1
How to unlock an Apple device when its owner dies,0
Van Gogh  a one eared dog in desperate need of a new home   paints  his way to adoption,-1
On this day in history  Jan           George Washington delivers first ever State of the Union address,0
America s new B    Raider has   big secrets China wants to steal,-1
Air fryer turkey dinner for    Try the recipe,0
Jeremy Renner posts hospital photo  thanks medical staff in recovery update,1
Patrick Mahomes sets NFL record as Chiefs clinch AFC s top seed  bye week with win over Raiders,1
One line from McCarthy speech brings GOP into uproar  leaves Dems silent,0
How to unlock an Android device and Windows PC when the owner dies,0
Police provide update on search for mom of   who vanished,0
American Airlines pilots say  reckless  cockpit procedure changes could hurt safety,-1
 CORPORATE KINGDOM   DeSantis backed plan to take control of Disney s land announced,0
DAN BONGINO  Are we living in a clown world ,0
Biden border visit all about      posturing  immigration plan about  streamlining illegality   critics,-1
Market expert gives grim prediction for first months of     ,-1
Virginia teacher shot by   year old identified  parents demand action,0
Arrest of Ashli Babbitt s mom on Jan    anniversary  doesn t smell right   widower,-1
Jessie James Decker lifts up former NFL star husband Eric Decker in PDA filled video   I like big boys ,1
Ecuadorian man with  violent criminal history  arrested in New York after re entering US illegally,-1
Federal court strikes down Trump era bump stock ban,-1
Richard Branson says Elon Musk surprised him in his kitchen at   AM last year before spaceflight,1
Connecticut community rallies together after Christmas food donations stolen  It s like a  Hallmark movie ,0
Get the best of Fox News delivered to your inbox daily,1
Rock star honored on Hollywood Walk of Fame   I couldn t have imagined something like this ,1
Will California s long term drought improve after atmospheric rivers hammer the West ,1
SHARP TURN Concealed carry holder allegedly shot ax wielding man he was trying to help,1
Conservatives pan Jefferies  rambling disaster of a speech   yet gets high praise from left,0
FAMILY S NIGHTMARE Girl stabs   year old brother to death  police say,-1
Item found at murder scene may reveal who killer was targeting  experts say,-1
Saints  Pelicans donate life saving equipment in wake of Damar Hamlin s on field collapse,-1
Dan Bongino hits back at  garbage narrative  on House Speaker battle  A  glorious day  for America,1
National Spaghetti Day  A look at the history of the dish,0
Armed robber shot dead by man who returned cash   but questions remain,-1
Former school district employee arrested for  multiple sexual encounters  with students,-1
How to watch Hawaii s Kilauea volcano eruption,0
Reddit user asks if she was wrong to wear  colossally large  engagement ring to a relative s engagement party,1
Dickens   Christmas Carol  could help Americans revitalize our spirit,1
Where is the snow  US approaches midpoint of meteorological winter,0
Homeowner shoots suspected intruder  holds him at gunpoint until deputies arrive,-1
NFL head coach reportedly weighing immediate future with team,0
Dem lawmaker sends not so subtle message with book on House floor,0
Oklahoma police arrest  porch pirate  wearing  women s underwear  as mask,-1
 IT S A LITTLE LATE   Border residents respond to Biden s first ever border trip  pledge to stiffen policies,0
Father of slain student Kaylee Goncalves comments on suspected Idaho murderer   Looked like a normal guy ,-1
Former congressman panics over Republican lawmakers investigating federal agencies,-1
Fox News   Night   Friday  January  ,0
The Ingraham Angle   Friday  January  ,0
The Dodge Challenger is America s best selling sports car     again,1
