headline,label
Our Scholars Contest for High School students in the New York area is open  Enter Now,0
Try the e edition   paper format  online ease     days free with code NYPOST,1
Self care essentials for the new year  Shop Now,1
Digital footprint,0
Idaho murder suspect discussed key details of case in Facebook group  online sleuths,-1
Bills  Damar Hamlin posts first message since collapsing   Love has been overwhelming ,1
Prince Harry  I wasn t Will s best man   it was all a lie,1
Protesters demand resignation of lyin  Rep  George Santos hours after he s sworn in,-1
Gridiron tragedy    year old collapses and dies after high school flag football game,-1
 Oh  for Christ s sake   CNN staffer on hot mic after McCarthy remarks,0
Twitter employees battling misinformation among latest layoffs since Musk takeover,-1
Warned kids to flee Gravely injured teacher hailed a hero after being shot by   year old,-1
  dead  including   minors  in alleged murder suicide,-1
 Boy Meets World  ingenue turned porn star says Disneyland dads ogle her,0
Meghan Markle  not welcome  at Balmoral as Queen lay dying  Harry confirms,-1
Idaho murder arrest,-1
 We don t know  Idaho cops  puzzled  by roommates    hour wait before calling    ,0
Police plane circled alleged Idaho killer s Pa  home for hours  records,-1
BTK Killer denies speaking with Idaho murder suspect,-1
Asphalt cowboy NY native breaking mold as bull riding s rising star   The life chose me ,0
El Paso cleans up migrant camps ahead of Biden s first border visit,0
Mom of Uvalde school shooter jailed for making death threats  reports,-1
NYC shootings cost taxpayers at least      million in hospital bills,0
Battle royale Royals set up a  war room  amid fears over Prince Harry s bombshell  Spare  memoir,-1
Trans swimmer struggling against new competition after earning All American honors as female,0
Ex Wells Fargo VP arrested after  peeing on passenger  during Air India flight,-1
Say it ain t dough  New Yorkers  favorite bagel flavor revealed,1
California s  bomb cyclone  will continue to wreak havoc,-1
Russians trap Ukrainian kids in Crimean summer camps for months,-1
King Charles was jealous after Kate  Meghan stole his spotlight  Harry,-1
Republican rumble What really happened between Gaetz and Rogers during near brawl on House floor,0
McCarthy credits Trump for House speaker victory   He was all in ,1
Kris Jenner  heartbroken  over Tristan Thompson s mom s  sudden  death,-1
Read the room Dem rep reads  The Subtle Art of Not Giving a F k  during speaker vote,-1
Mexican man arrested  extradited to NYC for running sex trafficking ring  feds say,-1
Randall Emmett slams Ambyr Childers  claim he s under investigation for pedophilia,0
Subway shove victim says MTA  Transit Authority ignore safety  lawsuit,-1
Rule of thumb I turned my accidental tattoo into something  useful    people say it s  genius ,1
How Democrat Adam Schiff abused his power to demand I be kicked off Twitter simply due to a personal vendetta,-1
Russia continues bombing Ukraine despite Putin s Christmas  ceasefire ,0
Palace Malice Harry jealous of Will  Kate s  magnificent  Kensington Palace apartment,1
It s in the name  Winning lottery ticket sold in Luck  Wisconsin,1
Popular Northeast ski resorts forced to close due to unseasonable warmth  lack of snow,0
Pop Warner investigation finds coach didn t use racial slur  but used other one,0
 I have bills to pay  Disgraced ex pol  former NYC Buildings commish selling insurance,-1
Principal who posted test scores to embarrass low achievers called  cruel ,-1
NYC can put brakes on controversial contract with towing company,-1
Off duty NYC firefighter charged with DWI  cops,-1
Heartless vandals desecrate Queens church nativity scene,-1
 So f ked up  EmRata curses Ellen DeGeneres after Taylor Swift interview resurfaces,1
Freedom Caucus earns major concessions from Kevin McCarthy after speaker vote,1
Sick joke  Highland Park shooting suspect prank calls New York Post,-1
Possible Mount Sinai nurses strike may force expectant moms to other hospitals,0
Gossip  fights   triumphs  The Post s Steve Cuozzo recalls    years on the job,0
My customer keeps asking me out on dates  how do I say no without losing his business ,0
America s spy agencies failed to protect us from China s bio warfare program,-1
