Headline,label
Iran  Regime condemned for executing two men over alleged protest crimes,-1
Water  Fears US supreme court could radically reshape clean water rules,1
 It altered my entire worldview   Leading authors pick eight nonfiction books to change your mind,0
If Harry sounds callous about killing  he is  All of us who served were   at least he knows why,-1
Skiing  Shiffrin ties Vonn s World Cup record with   nd career win,1
ADHD  What does the Adderall shortage in the US mean for ADHD patients ,-1
Documentary thrasher,0
News  sport and opinion from the Guardian s US edition,0
Texas  Search for vigilante who fatally shot robbery suspect carrying fake gun,-1
In his own write  Prince Harry s ghostwriter is so famous that George Clooney made a film of his life,0
The writing s on the wall for the paper check   but I m still going to miss it,-1
Minsk  Russia and Belarus extend military drills amid fears of new push into Ukraine,-1
Naomi Osaka  Concerns mount as former No   withdraws from Australian Open,-1
Ana Bel n Montes  US releases top Cuba spy after    years in prison,-1
California  Thousands without power as state braces for next onslaught of storms,0
At a glance What we know on day     of the invasion,0
Germany  Police arrest Iranian man suspected of planning chemical attack,-1
 Profoundly troubling   Harvard Kennedy School condemned for denying fellowship to Israel critic,-1
Aston Villa     Stevenage  Campbell s late stunner causes FA Cup upset,-1
 A landmark step   How pioneering foetal surgery is transforming lives,0
Russell Banks  Award winning fiction writer dies at   ,1
Environment  Biden administration seeks to limit deadly air pollution,0
Israel  Palestinian foreign minister says travel permit has been revoked,0
Palette styles new do not delete,0
Cellphones  cameras  DNA  How police caught Idaho student killings suspect,-1
X marks the spot  Newly released map sparks hunt for    m Nazi hoard,0
Brutalised  broken  mended  Inside Ukraine s rehabilitation centre for wounded veterans,-1
 It s my Mousetrap   Michael Frayn on Noises Off  a farce to be reckoned with,-1
A day at the beach   Quicksand had never felt real as a concept until this moment ,0
In brief  A Writer s Diary  The Race Against Time  Price Wars   reviews,-1
Virginia Shooting a red flag for US  says mayor,0
Virginia  Shooting of teacher by six year old  not accidental   authorities say,0
 Touched by the welcome   Messi given guard of honour on PSG return,1
Who wants to live for ever  Only billionaires like Jeff Bezos,1
Contact the Guardian,0
 You re my hero   How Zelenskiy became Hollywood s man of the hour,1
