Headline,label
Bataan survivor       remembers enduring POW camps because  God sustained me ,1
Child star Adam Rich  known for his role on  Eight Is Enough   dead at   ,0
Brad Pitt considering  semi retirement  after selling majority stake in production company  report,0
IRS targeted poorest taxpayers while millionaires went mostly unscathed in       report,-1
Biden departs El Paso  Texas just hours after arriving for first  brief visit to southern border,0
As COVID ravages China  US expands testing system for incoming travelers,0
CES       AI smart collar aims to take the guesswork out of your dog s health with real time alerts,1
Florida Rep  Byron Donalds reveals committee appointment in exchange for McCarthy House Speaker vote,0
Tom Brady reaches another career first in loss to Falcons,-1
Air fryer turkey dinner for    Try the recipe,0
The Dodge Challenger is America s best selling sports car     again,1
Subway train collision in Mexico City kills    injures   ,-1
Unfiltered with Dan Bongino   Saturday  January  ,0
New Jersey beach town sues state for     million over dune issue,0
Debt relief industry sees surge as credit card balances swell,1
How to watch Hawaii s Kilauea volcano eruption,0
Rising MMA star in ONE Championship dead at   ,-1
   year old Navy vet retires from Walmart after TikTok video goes viral,0
KFC for Christmas  How the fast food chain became a holiday hit in Japan,1
Homeland Security develops new portable gunshot detection system,1
Virginia teacher shot by   year old identified  parents demand action,0
  safety tips for deep frying a Thanksgiving turkey,1
Brad Pitt sunbathes with topless girlfriend Ines de Ramon in Mexico amid  semi retirement  plans,0
UK police forces spend thousands on rainbow cars  flags supporting LGBT community   woke nonsense ,0
California facing    B budget shortfall amid economic uncertainty,-1
Federal court strikes down Trump era bump stock ban,-1
Flood alerts in effect across California as another powerful atmospheric river storm aims for the Golden State,1
Father of slain student Kaylee Goncalves comments on suspected Idaho murderer   Looked like a normal guy ,-1
School district sues tech giants for allegedly creating a mental health crisis in kids,-1
Bestseller  The Book of Virtues  marks its   th Anniversary,1
Byron Donalds reveals committee appointment in exchange for McCarthy House Speaker vote,0
Political cartoons of the day,0
China Tesla buyers protest price cuts  video,-1
Reddit user asks if she was wrong to wear  colossally large  engagement ring to a relative s engagement party,1
