Headline,label
Musk asks to have upcoming fraud trial with Tesla shareholders moved to Texas   claiming San Francisco jurors will be bias against him after he sacked of     of Twitter workers,-1
Legendary journalist Bernard Kalb dies aged      Reporter whose career spanned six decades dies at Maryland home,0
 He really stayed secluded   Idaho murder suspect Bryan Kohberger was  overweight and bullied in high school before becoming a self destructive heroin addict   former friends reveal,-1
Texas Gov  Abbott hands Biden a frosty welcome letter as the president arrives at border  blasting him for visiting  SANITIZED  El Paso and demanding more action to tackle illegal immigration,-1
Harry tells of his delight of Lady Susan Hussey and Ngozi Fulani reconciling over their racism row   as he uses his TV interview to say HE wants accountability from his relatives,0
Son of Romeo and Juliet director accused by its stars of sexually exploiting them in     m lawsuit says one went to his dead dad s funeral   while the other worked with the director on other movies,-1
TOP US SPORTS STORIES,0
Cell phone video game that helps wean ADHD children off Adderall could be downloadable in US in MONTHS   amid over prescription crisis,-1
Prince Harry s millionaire polo playing pal Nacho Figueras looks dapper as he attends the Magic Millions with wife Delfina Blaquier in Australia,0
The world s    most isolated homes  From Australian mountain retreat to Georgian villa on top of a limestone monolith and Icelandic bolthole where your only neighbours are puffins,0
Prince Harry says he and William used to SHOOT each other with BB guns as children and would have fought him back in Nottingham Cottage fracas if he  hadn t have been in therapy ,-1
 You don t think you owe me that    Brazen woman tries to get her date   who showed up     hours late   to buy food for her kids,0
 My family helped to drive out Meghan   Harry launches extraordinary new attack on the Royal family  branding them  abusers  in TV book interview likened to taking a  flame thrower to them ,-1
GOP Rep  Dan Crenshaw apologizes for branding the    Republican rebels who opposed Kevin McCarthy s Speakership bid as  terrorists ,-1
Democrats are SPLIT over Biden s new border policies that keeps Title    but flies in        migrants every month   as president prepares to visit border for the first time,0
Biden lands in Mexico for  Three Amigos  summit after his three hour tour of the border   with plans act on immigration and illegal drugs following government arrest of kingpin  El Chapo  Guzman s son in violent clash,-1
Alejandro Mayorkas rebuffs GOP calls for him to resign over disastrous response to migration crisis   but DHS Secretary says he still has  a lot of work to do  at the southern border,-1
Chinese megastar actress denies abusing two children born to Colorado surrogates  Told TV producer ex husband she wanted them aborted after they split while surrogates were expecting,-1
LIVE            Lions     Packers   NFL LIVE  It s win and in for Aaron Rodgers in HUGE final day showdown in Green Bay  as Detroit looks to be playoff spoilers at Lambeau Field,1
Happiness is  making every minute count  There s a simple science to contentment   it s about reframing your time around life s little pleasures,1
Harry is accused of turning the Royal Family  into an episode of the Kardashians  as social media explodes at ITV interview   questioning why the Duke is calling for his privacy in tell all chat,-1
Can you spot the sniper    before he shoots you  Nerve shredding video challenges viewers to catch killer in the woods before your time runs out,-1
Mediterranean diet may help solve fertility issues by improving sperm quality  research suggests,1
Royal family were  horrible  to him on the day the Queen died  Harry claims in score settling ITV interview,-1
Andrew Tate s social media account declares the  Matrix has attacked me  after reports he may have been  taken to hospital  after arriving in prison,-1
From high fashion in Paris    to lowly fruit sellers of Lebanon  Pioneering photographer Marilyn Stafford s life in pictures after her death aged   ,-1
Is a cocktail candle the key to Dry January  With booze the new home fragrance trend HELEN MCGINN gives her verdict on the best buys,1
Crisis  what crisis  El Paso CLEARS migrant camps before Biden s first border trip,-1
Chip Roy does NOT rule out taking Speaker s gavel from Kevin McCarthy if a clean debt ceiling increase comes to the House floor,1
