Headline,label
Personal Freedoms,1
Four seasons  One world  Epic stories  Coming Sunday  exclusively on Fox Nation ,0
Ronald Reagan s daughter Patti Davis warns Prince Harry ahead of book release   Be quiet ,0
December jobs report s real numbers are anemic not robust  Here s why Americans should be wary,-1
DEVIL S ADVOCATE Satanic Temple dedicates  largest gathering in history  to big city mayor,-1
Billy Idol honored with star on Hollywood Walk of Fame   I couldn t have imagined something like this ,1
Italian breakfast made easy and delicious  Hint  rolled oats  espresso and cocoa powder are involved ,1
California braces for significant flooding   direct threat to life and property  from next atmospheric river,-1
I ve been to the border and here is my message to President Biden,0
Damar Hamlin s recovery shows  we re seeing God answer prayer in real time ,1
Cage the Elephant singer Matt Schultz arrested on weapon charges,-1
Unfiltered with Dan Bongino   Saturday  January  ,0
Texas man jailed for allegedly beating and starving Bumble date  released on    k bond  reports,-1
Mark Levin warns House GOP   If you don t unite to fight tyranny  the people will rise up against you ,-1
Brad Pitt sunbathes with topless girlfriend in Mexico,0
McCarthy s    rounds of voting for House speaker was summed up in one word   wow ,1
Missing Massachusetts mother Ana Walshe s husband arrested for allegedly  misleading a police investigation ,-1
Hiker found dead in Texas national park after high wind warning on New Year s Eve,-1
Biden signs bills to improve water access for   Arizona tribes,1
Jorge Ventura  Biden saw  sanitized  version of US Mexico border,0
Former Green Beret warns of extreme narrative pushed into the military and US institutions,0
STEVE HILTON  House speaker saga  improved our democracy ,1
State caves to Dem mayors after outcry over sending migrants to their cities,-1
Top   most stunning bombshells from Prince Harry s     Minutes  interview,1
How to watch Hawaii s Kilauea volcano eruption,0
The first GMC Hummer EV SUV could raise millions for charity,1
WATCH  San Francisco activist exposes bus stops  hijacked  as  open air drug markets ,-1
Drug cartels should be public enemy No    Chad Wolf,-1
On this day in history  Jan           George Washington delivers first ever State of the Union address,0
Here are the winning numbers for Friday s     M Mega Millions drawing,1
The Dodge Challenger is America s best selling sports car     again,1
Bodycam video shows Grammy winning Nashville producer killed by police after allegedly holding family hostage,-1
Gaetz and Rogers weren t the first  Here are the wildest times lawmakers have come to blows inside the Capitol,0
Will California s long term drought improve after atmospheric rivers hammer the West ,1
Local store sign about  triggers  ignites debate on Reddit   Nobody s responsibility but your own ,0
Rod Stewart says  farewell  to late brother Bob after losing eldest sibling Don   Two of my best mates gone ,1
Republicans  battle over House speakership had been  coming to a head for a long time   Rep  Scalise,-1
Debt relief industry sees surge as credit card balances swell,1
Biden s new border security plan won t work  Here s what will,1
Tulsi Gabbard  Our country has a serious shortage of leaders who care,0
Prince Harry fears  tabloid media  will radicalize its readers into causing  harm  to his wife and children,-1
What could have motivated Idaho murder suspect Bryan Kohberger ,-1
Texas homeowner shoots suspected intruder  holds him at gunpoint until deputies arrive,0
Packers  Quay Walker pushes member of Lions training staff  gets ejected from game,0
Tom Brady reaches another career first in loss to Falcons,-1
Federal court strikes down Trump era bump stock ban,-1
Teen pilot flying family to breakfast makes emergency landing on CA highway  grandma  crying in the back ,-1
GOP hardliner reveals what he received in exchange for giving his vote to McCarthy for House Speaker,1
How to unlock an Android device and Windows PC when the owner dies,0
Father of slain student Kaylee Goncalves comments on suspected Idaho murderer   Looked like a normal guy ,-1
Air fryer turkey dinner for    Try the recipe,0
Lions play spoiler  knock Packers out of playoffs behind Jamaal Williams  two touchdowns,1
Michigan UPS worker  born a preemie herself  makes warming blankets for other babies born prematurely,0
Biden administration unveils defense of student loan forgiveness plan at Supreme Court,1
Tennessee National Guard rescues stranded Appalachian Trail hikers,1
Bataan survivor       remembers enduring POW camps because  God sustained me ,1
Texans part ways with Lovie Smith after one season as head coach,0
Cardinals  JJ Watt emotional during standing ovation in final game,1
Prince Harry s Top       Minutes  Bombshells,0
Smaller vs  larger tablets  Is bigger better ,1
New Jersey beach town sues state for     million over dune issue,0
Annual report says Maine s child welfare system needs improvements,1
Travel   Outdoors,0
German police detain Iranians accused of plotting  Islamist motivated attack  after US tip,-1
Jordan says cuts to military spending should be  on the table   as money should not go to  woke  policies,-1
 OUR GOVERNMENT IS A BUST   Americans weigh in on fight to elect speaker of the House,-1
Italian tennis star embroiled in fake vaccine certificate scandal,-1
Wild innovations coming in      despite downturn in economy,0
UK police forces spend thousands on rainbow cars  flags supporting LGBT community   woke nonsense ,0
Shock  The electric Ram      Revolution pickup has       rows of seats ,-1
Rep  Chip Roy  GOP made  great progress  through House speaker struggle,1
As COVID ravages China  US expands testing system for incoming travelers,0
California s Newsom blames climate change  to seek federal assistance as more storms line up to batter state,-1
Here s how GOP is looking to move forward after House speaker struggles,-1
Florida Rep  Byron Donalds reveals committee appointment in exchange for McCarthy House Speaker vote,0
KFC for Christmas  How the fast food chain became a holiday hit in Japan,1
Stronger limits proposed to control deadly soot pollution in the US,1
Meet the American who invented the wireless TV remote control,0
Iowa s Bessie Hendricks  the oldest person in the US  dies at    ,0
Republicans dehumanized as  locusts  that  feed on dysfunction and suffering  on MSNBC,-1
Damar Hamlin s CPR after cardiac arrest  How to perform CPR and potentially save a life,0
  Strange new inventions arriving in     ,0
The Biden administration could be compromised  James Comer,0
Shania Twain calls performing with Harry Styles at Coachella  a full circle moment ,0
Arkansas monastery desecrated with sledgehammer  relics stolen  suspect arrested,-1
The Big Sunday Show   Sunday  January  ,0
NH GOP Gov  Sununu says he s having  conversations  about       Gov  Noem won t rule out a presidential bid,1
 WORSE THAN IT ALREADY IS   Americans reveal low expectations for Biden in     ,-1
Anne Heche s son Homer Laffoon thanks fans for  love  care and support  amid late star s memoir release,1
Honey as an alternative to sugar  New study indicates the health benefits,1
Biden sees  sanitized  border crisis as migrant encounters plummet at El Paso and encampments cleared  sources,-1
The mysterious      Dodge Challenger  Black Ghost  is up for auction and worth a fortune,0
Former trans  gay activist aims to  de program  children from woke indoctrination   Children cannot consent ,0
Retired NASA satellite to crash into Earth on Sunday,-1
Georgia man arrested after fleeing troopers on motorcycle and posting video to TikTok,-1
 ABSOLUTELY RIDICULOUS  NFL legend quick to slam woke article claiming football is racist,-1
IRS targeted poorest taxpayers while millionaires went mostly unscathed in       report,-1
 CORPORATE KINGDOM   DeSantis backed plan to take control of Disney s land announced,0
Where does GOP stand now with House speakership settled ,0
 IT S A LITTLE LATE   Border residents respond to Biden s first ever border trip  pledge to stiffen policies,0
TREY GOWDY  Republicans need to stop seeking attention and start seeking results,-1
Virginia teacher shot by   year old identified  parents demand action,0
  ers fan falls from stands as he tries to catch towel,1
Idaho slaying suspect s former friend opens up about what Kohberger was like,1
Digital Originals,0
MARK LEVIN  If it wasn t McCarthy  it wasn t going to be anyone else,0
Adam Rich   Eight is Enough  star  dead at   ,0
Taiwan s defense ministry says dozens of Chinese military aircraft entered air space near island,0
Are you starting      filled with uncertainty  You re not alone  Don t worry  God s got this,1
Van Gogh  a one eared dog in desperate need of a new home   paints  his way to adoption,-1
Prince Harry s comments on military service may incite Taliban violence  former commander says   Propaganda ,-1
Blunt hiring ad at butcher shop prompts employers to share wild employee excuses   My cat just had puppies ,1
New York police nab repeat shoplifter who had at least    prior arrests,-1
Subway train collision in Mexico City kills    injures   ,-1
Prince Harry accuses royal family of being  complicit  in Meghan s  pain and suffering ,-1
China Tesla buyers protest price cuts  video,-1
It s no yoke  Tesla brings back round steering wheels,-1
