Headline,label
How reparation efforts in Barbados found an international spotlight,0
Adam Rich  former  Eight Is Enough  child star  dies at   ,1
A Black  Wall Street Journal  reporter was detained while working outside a bank,-1
California is getting drenched  So why can t it save water for the drought ,1
  low key ways to get your new year off to a healthy start,0
Damar Hamlin thanks fans for support in his first social media posts since collapse,1
Shots   Health News,0
An Iranian man has been held in Germany for allegedly planning a chemical attack,-1
   people killed  dozens injured in bus crash in Senegal,-1
Who says opera needs a grand stage  This festival is all about intimate productions,1
China has reopened its borders to tourists after three years of COVID    closure,0
Security forces regain control after Bolsonaro supporters storm Brazil s Congress,1
PHOTOS  The drama filled process to elect Kevin McCarthy as House speaker,0
From more Star Trek to a surprising Harrison Ford  the best TV in early     ,1
RSV recedes and flu peaks as a new COVID variant shoots  up like a rocket ,0
Bernard Kalb  a longtime foreign affairs newsman  has died at    ,-1
The VA says it s back on track to end veteran homelessness,0
How an ex president who had been jailed rose back to power over Brazil s far right,-1
Ana Montes  former U S  analyst convicted of spying for Cuba  is released from prison,-1
As she nursed her mom through cancer and dementia  a tense relationship began to heal,-1
The State Department will begin spelling Turkey as T rkiye,0
Shows of support and signs of unease mark the first NFL Sunday since Hamlin s injury,-1
The first orbital space launch from British soil will take off on Monday,0
Seattle s schools are suing tech giants for harming young people s mental health,-1
California braces for more storms as thousands are still without power,0
McCarthy s struggles point to troubles ahead for his office  his party and Congress,-1
A bright green comet may be visible with the naked eye starting later this month,1
Biden makes his first visit to the southern border as president,0
VA says it s back on track to end veteran homelessness,0
Deceptive Cadence,0
Buying an electric car  You can get a        tax credit  but it won t be easy,1
If you re looking for a new read for the new year  NPR has      suggestions,0
Headline,label
  arrested    illegal guns found after police track speeding car across Portland,-1
What s up with that  bomb cyclone    Plus a very mild first half of January,-1
Vancouver teacher arrested for sending student nude photo  Police,-1
Beloved Portland tree falls during wind storm,1
Suspect reveals motive behind burning historic Portland church,-1
Police arrest suspect in deadly Portland hotel shooting,-1
Man accused of chewing MAX passenger s face claims victim was  robot ,-1
Pedestrian killed in Centennial Neighborhood crash  PPB says,-1
Former ODOT employees sentenced to prison for    year crime spree,-1
Blazers lose  th straight on road  Raptors win        ,1
Suspect extradited to Portland after arrest for      house party murder,-1
Motorcyclist killed in crash with car in Hazel Dell,-1
Homeless man seriously injured in shooting  arson attack,-1
Camas driftwood artist makes masterpieces out of nature,1
Portland bike courier recovering after being hit by wrong way driver,-1
Man arrested after speeding  crashing car with no license plates,-1
Oregon leads US with highest voter turnout,0
New West Linn mayor is youngest in city s history,0
 We just really want him to come home   Portland man with dementia missing for days,0
Money stolen from safe at Oak Grove bar in a matter of minutes  employees say,0
Turner  Haliburton leads Pacers past Trail Blazers       ,0
Teenager arrested in attempted murder shooting of    year old boy,-1
First Latino sheriff of Marion County dies at   ,0
Oregon Gov  Brown reflects on turbulent final term,0
Reward offered for information on Portland bank arson suspect,1
   year old arrested for shooting that injures   outside Franklin High School,-1
   year old found driving stolen car in N  Portland,-1
   cats at Silverton cat rescue die in fire,-1
Police  Idaho slaying suspect s DNA found at crime scene,-1
Demolition begins on fire ravaged Portland church,-1
Headline,label
Musk asks to have upcoming fraud trial with Tesla shareholders moved to Texas   claiming San Francisco jurors will be bias against him after he sacked of     of Twitter workers,-1
Legendary journalist Bernard Kalb dies aged      Reporter whose career spanned six decades dies at Maryland home,0
 He really stayed secluded   Idaho murder suspect Bryan Kohberger was  overweight and bullied in high school before becoming a self destructive heroin addict   former friends reveal,-1
Texas Gov  Abbott hands Biden a frosty welcome letter as the president arrives at border  blasting him for visiting  SANITIZED  El Paso and demanding more action to tackle illegal immigration,-1
Harry tells of his delight of Lady Susan Hussey and Ngozi Fulani reconciling over their racism row   as he uses his TV interview to say HE wants accountability from his relatives,0
Son of Romeo and Juliet director accused by its stars of sexually exploiting them in     m lawsuit says one went to his dead dad s funeral   while the other worked with the director on other movies,-1
TOP US SPORTS STORIES,0
Cell phone video game that helps wean ADHD children off Adderall could be downloadable in US in MONTHS   amid over prescription crisis,-1
Prince Harry s millionaire polo playing pal Nacho Figueras looks dapper as he attends the Magic Millions with wife Delfina Blaquier in Australia,0
The world s    most isolated homes  From Australian mountain retreat to Georgian villa on top of a limestone monolith and Icelandic bolthole where your only neighbours are puffins,0
Prince Harry says he and William used to SHOOT each other with BB guns as children and would have fought him back in Nottingham Cottage fracas if he  hadn t have been in therapy ,-1
 You don t think you owe me that    Brazen woman tries to get her date   who showed up     hours late   to buy food for her kids,0
 My family helped to drive out Meghan   Harry launches extraordinary new attack on the Royal family  branding them  abusers  in TV book interview likened to taking a  flame thrower to them ,-1
GOP Rep  Dan Crenshaw apologizes for branding the    Republican rebels who opposed Kevin McCarthy s Speakership bid as  terrorists ,-1
Democrats are SPLIT over Biden s new border policies that keeps Title    but flies in        migrants every month   as president prepares to visit border for the first time,0
Biden lands in Mexico for  Three Amigos  summit after his three hour tour of the border   with plans act on immigration and illegal drugs following government arrest of kingpin  El Chapo  Guzman s son in violent clash,-1
Alejandro Mayorkas rebuffs GOP calls for him to resign over disastrous response to migration crisis   but DHS Secretary says he still has  a lot of work to do  at the southern border,-1
Chinese megastar actress denies abusing two children born to Colorado surrogates  Told TV producer ex husband she wanted them aborted after they split while surrogates were expecting,-1
LIVE            Lions     Packers   NFL LIVE  It s win and in for Aaron Rodgers in HUGE final day showdown in Green Bay  as Detroit looks to be playoff spoilers at Lambeau Field,1
Happiness is  making every minute count  There s a simple science to contentment   it s about reframing your time around life s little pleasures,1
Harry is accused of turning the Royal Family  into an episode of the Kardashians  as social media explodes at ITV interview   questioning why the Duke is calling for his privacy in tell all chat,-1
Can you spot the sniper    before he shoots you  Nerve shredding video challenges viewers to catch killer in the woods before your time runs out,-1
Mediterranean diet may help solve fertility issues by improving sperm quality  research suggests,1
Royal family were  horrible  to him on the day the Queen died  Harry claims in score settling ITV interview,-1
Andrew Tate s social media account declares the  Matrix has attacked me  after reports he may have been  taken to hospital  after arriving in prison,-1
From high fashion in Paris    to lowly fruit sellers of Lebanon  Pioneering photographer Marilyn Stafford s life in pictures after her death aged   ,-1
Is a cocktail candle the key to Dry January  With booze the new home fragrance trend HELEN MCGINN gives her verdict on the best buys,1
Crisis  what crisis  El Paso CLEARS migrant camps before Biden s first border trip,-1
Chip Roy does NOT rule out taking Speaker s gavel from Kevin McCarthy if a clean debt ceiling increase comes to the House floor,1
New Western firepower outgunning Putin  How Russian raw recruits are losing to Ukraine s modern tech   and Kyiv could  win the war this year  if Moscow doesn t  get its act together ,-1
Republican Rep  Nancy Mace labels Speakership debacle a  food fight  and goes after controversial GOP colleagues  Calls Matt Gaetz a  fraud  and says George Santos  cannot be trusted ,-1
Moment customer shoots and kills robber who held up Houston restaurant with fake gun  Cops search for vigilante who fired eight bullets into thief s back and one  execution style  into his head,-1
 You should never put your hands on a woman   MMA star Dustin Poirier condemns Dana White after footage emerged of the UFC President slapping his wife during New Year s Eve party,0
Hundreds of migrants who have just stepped foot in the US CHEER as Biden thunders past    but President is oblivious to their presence after illegal immigrants are cleared from the path of his three hour Texas visit,-1
 The weight of the world was lifted off our shoulder   Sister of murdered University of Idaho student Kaylee Goncalves breaks her silence to share relief after Bryan Kohberger was arrested   calls suspected killer  true evil ,-1
 I don t see it as cutting at all   Prince Harry brazenly insists he  NEVER intended to hurt his family    despite launching dozens of brutal attacks on royals in explosive memoir and on TV,-1
Forty people die and    are injured after two buses crash in a head on collision overnight in Senegal  government says,-1
Harry and Meghan s    page rebuttal of bullying claims  Prince rails against royal staff  lies  about his wife in book   and reveals couple filed hefty report  full of evidence  to challenge claims,-1
Damsels in distress save the day  Mattel reveals new line of princess dolls after winning back Disney contract it lost   as firm turns profit again by focusing on  making good toys  kids actually want,1
King Charles s niece Zara Tindall shows off her silky polo skills at glitzy Magic Millions tournament in Australia   as husband Mike rubs shoulders with Hollywood actor Chris Hemsworth,0
