Headline,label
 It s going to be dirty  Republicans gear up to attack Hunter Biden,-1
Virginia  Shooting of teacher by six year old  not accidental   authorities say,0
NFL  Trainer who rushed to Damar Hamlin s aid lauded as  real hero ,1
Under the  we pay  you entertain  deal  Harry is now the hardest working royal,0
Reaction US lawmakers call for Bolsonaro extradition,0
The US should break up monopolies   not punish working Americans for rising prices,1
 A landmark step   How pioneering foetal surgery is transforming lives,0
Podcast               Mouldy flats and bidding wars  how did the UK rental crisis get so bad ,-1
Texas  Search for vigilante who fatally shot robbery suspect carrying fake gun,-1
Abortion  The US government just took two big steps  Will they matter ,0
Europe  Record high temperatures leave Alps without snow,0
 This is no way to live   Mississippians struggle with another water crisis,-1
Nigel Slater s recipes  Breakfast muffins  and kipper cakes with dill sauce,0
Contact the Guardian,0
A new start after     I became a naturist at      and it felt like freedom,1
Aston Villa     Stevenage  Campbell s late stunner causes FA Cup upset,-1
California  Thousands without power as state braces for next onslaught of storms,0
 You re my hero   How Zelenskiy became Hollywood s man of the hour,1
Paul Mescal  Normal People actor set to star in Ridley Scott s Gladiator sequel,0
US Mexico  Biden visits border for first time as critics condemn his migrant crackdown,-1
Prince Harry  Prince Harry defends tell all memoir in furious ITV interview,-1
NFL  Dolphins and Seahawks grab final playoff spots as Bills honor Hamlin,1
US politics  McCarthy takes vote losses to six as US House of Representatives adjourns again,-1
Court orders removal of Bras lia governor after Bolsonaro supporters storm congress   as it happened,1
Myanmar  On the frontline with the rebel army fighting brutal junta,-1
Italo Calvino  The Written World and the Unwritten World review   a box of delights,1
Explainer What we learned about royal briefings  reconciliation and that beard,0
Who wants to live for ever  Only billionaires like Jeff Bezos,1
Tennis  United Cup glory primes US stars as major threats for Australian Open,1
Across the country,0
An art treasure long cherished by Muslims is deemed offensive  But to whom ,0
Germany  Police arrest Iranian man suspected of planning chemical attack,-1
Einstein  Piaf  Twiggy  Marilyn Stafford s extraordinary life behind the lens,0
Search for Texas vigilante who fatally shot robbery suspect carrying fake gun,-1
Travel     of the best secret retreats in the Canary Islands,1
Mexico City  At least one dead and    injured in collision on metro,-1
 Feeling betrayed   The reaction in George Santos s district to brazen lies,-1
Brutalised  broken  mended  Inside Ukraine s rehabilitation centre for wounded veterans,-1
The Kardashians  Billion Dollar Dynasty review   who knew that Kim was once the face of a toilet ,0
Prince Harry defends tell all memoir in furious ITV interview,-1
Alex Jones   Lawyer s license is suspended for releasing sensitive records,-1
House speaker McCarthy clinches gavel at   th attempt,0
Sculpture  Balloon animals beyond the poodle,0
 It s my Mousetrap   Michael Frayn on Noises Off  a farce to be reckoned with,-1
News  sport and opinion from the Guardian s US edition,0
Louisiana  Ex police deputy given     year sentence for sex crimes,0
Books  Meet the    best new novelists for     ,1
Water  Fears US supreme court could radically reshape clean water rules,1
H bombs or chicken bones  The race to define the start of the Anthropocene,0
 Profoundly troubling   Harvard Kennedy School condemned for denying fellowship to Israel critic,-1
Harry  The Interview review   so horribly sad it could have turned the Queen anti monarchy,-1
Seattle  Public schools sue social media platforms for youth  mental health crisis ,-1
